mode: set
MVPCLassConnect/backend/main.go:7.14,9.2 0 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:19.18,24.16 3 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:24.16,26.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:29.2,33.16 4 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:33.16,35.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:38.2,39.16 2 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:39.16,41.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:43.2,44.22 2 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:48.16,49.24 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:49.24,54.17 4 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:54.17,56.4 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:57.3,59.20 2 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:16.18,19.16 2 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:19.16,21.3 1 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:23.2,36.16 5 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:36.16,38.3 1 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:41.2,42.40 2 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:45.16,46.15 1 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:46.15,49.3 2 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:19.18,24.16 3 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:24.16,26.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:29.2,33.16 4 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:33.16,35.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:38.2,39.16 2 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:39.16,41.3 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:43.2,44.22 2 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:48.16,49.24 1 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:49.24,54.17 4 1
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:54.17,56.4 1 0
MVPCLassConnect/backend/dbConfig/mongo/mongoDB.go:57.3,59.20 2 1
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:16.18,19.16 2 1
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:19.16,21.3 1 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:23.2,36.16 5 1
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:36.16,38.3 1 0
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:41.2,42.40 2 1
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:45.16,46.15 1 1
MVPCLassConnect/backend/dbConfig/postgres/postgres.go:46.15,49.3 2 1
